Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ab_com_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,140.196519999999,135.16752,126.78828,130.5202,132.18388,149.301,138.759,142.665,140.548,135.826,145.31312705619,133.39645586973,152.41644717446,163.624259208689,160.364349614399,149.8021806283,149.236587412599,151.198058043147,156.4890204953,166.53928368794,162.808460869599,171.54,174.127,172.1076901408,177.3833431373,166.847,182.73254006969,217.319057142856,222.38779487179,227.290344444449
ab_res_Table 1: Secondary Energy Use and GHG Emissions by Energy Source,156.126,156.755,154.109,157.768,172.945,175.977,194.386,180.115,178.652,176.26,191.275274,172.236941,189.772674,191.039974,190.451087,177.672078,180.666504,210.369896,207.401309,204.959368,195.73602,206.601171,205.480747,207.471177,207.567758,201.214109,200.186182,218.777529,228.351725,220.874434
ab_tra_Table 1: Secondary Energy Use by Energy Source,249.574,226.996,230.502,233.453,256.821,259.054,267.836,286.597,299.653,304.414,315.637,342.236,334.507,342.317,360.015,370.29,391.983,423.255,418.948,416.1,434.752,422.898,448.09,480.083,500.76,461.071,432.381,420.028,462.903,-
ab_ind_Table 1: Secondary Energy Use and GHG Emissions by Energy Source ,501.94,497.47,507.75,534.31,592.61,649.39,677.91,714.0,676.95,689.06,727.43,691.74,737.61,806.63,831.4,860.93,873.3,1003.82,963.79,1028.46,1116.44,1289.06,1338.55,1400.58,1437.2,1453.24,1339.87,1449.75,-,-
ab_ind_Table 3: Construction Secondary Energy Use and GHG Emissions,11.64,9.431,9.868,9.235,10.691,9.706,10.328,12.156,9.826,10.796,10.59001,10.51701,10.511043,10.062055,10.683109,12.901022,13.808,13.446046,13.164041,9.716099,10.443191,12.413,12.752,13.031599,13.409686,13.725,15.753237,19.773176,-,-
ab_ind_Table 4: Pulp and Paper Secondary Energy Use and GHG Emissions,27.965,22.178594,24.15625,24.557182,34.724011,61.562573,72.636353,75.6942,77.119276,81.117313,85.435158,83.938432,92.585575,97.907787,109.993038,117.394211,86.062623,88.307692,76.3074,75.27535,72.919966,74.130506,78.085498,84.548102,92.206715,81.71464,58.624041,59.066836,-,-
ab_ind_Table 5: Smelting and Refining Secondary Energy Use and GHG Emissions,2.185,2.192,2.285,2.785,2.139,5.999,5.969,6.371,5.849,5.567,5.545,5.163,5.211,4.36,3.966,4.08,4.646,5.061481,0.492133,0.393396,5.600202,6.788,0.299,0.291,0.716895,0.66974,0.566982,0.528027,-,-
ab_ind_Table 6: Petroleum Refining Secondary Energy Use and GHG Emissions,63.452039,60.98282,60.226889,64.022953,65.901176,84.848056,75.370203,94.179274,87.90316,38.08632,74.83891,75.7157,89.6077,74.05431,88.06786,73.63625,74.82491,76.76801,59.660869,56.69469,76.11589,76.80339,78.448401,80.517995,92.768716,92.846126,93.161973,101.230768,-,-
ab_ind_Table 7: Cement Secondary Energy Use and GHG Emissions,7.9457,6.9261,7.3348,8.0285,7.9902,9.4942,8.5194,10.3,10.6101,10.879,11.1762,10.4366,10.6264,7.0685,9.2924,10.6624,11.1312,10.619,9.9536,10.0139,10.7382,11.0783,10.1487,10.4658,9.1411,9.1813,7.926403,10.512,-,-
ab_ind_Table 8: Chemicals Secondary Energy Use and GHG Emissions,93.113,106.211,108.711,101.45,127.901,130.632,128.985,137.082,141.917,135.584,134.1,113.43,114.009,116.802,126.616,127.591,126.734,120.145099,120.44102,120.237,138.615,158.753,157.508,165.737099,144.89,126.178,124.057,122.91,-,-
